цууны	цуу @@ы
хөөс	хөөс
хөдөлгөх	хөдлөх @@гөх
ачлалыг	ач @@лах @@л @@ыг
үрчлээ	үрчл @@ээ
тайлангийн	тайлан @@ийн
савлуураар	сав @@лах @@уур @@аар
санхүүгээр	сан @@хүү @@ээр
бэлхүүсэвчийн	бэлхүүс @@вч @@ийн
соёлждог	соёлж @@дох @@г
савхийг	савхи @@ийг
ганхалт	ганхах @@лт
хэрүүлтэй	хэрүүл @@тэй
хавцлыг	хавцах @@л @@ыг
солилцоогоор	солих @@лцоо @@оор
солиог	солио @@г
зулайгаар	зулай @@аар
сунгах	сун @@гах
дуульд	дууль @@д
галзуурах	галзуу @@рах
амталгааг	амтлах @@гаа @@г
ашиглалтаас	ашиг @@лах @@лт @@аас
хураангуй	хураах @@нгуй
авиагаар	авиа @@аар
тэвчээрт	тэвчих @@ээр @@т
чансааны	чанс @@аа @@ы
сэдвийг	сэдэв @@ийг
оньс	оньс
үсрэлтэд	үсрэх @@лт @@д
оршихуй	оршихой
хувьсалтай	хувь @@сах @@л @@тай
тохуунаас	тохуу @@аас
хөтөлбөрт	хөтлөх @@бөр @@т
өмхий	өмхий
үхэх	үхэх
томыг	том @@ыг
өөдсийг	өөдөс @@ийг
тэмүүлэх	тэмүү @@лэх
консулаар	консул @@аар
гадилтай	гадил @@тай
аргаар	арга @@аар
өлсгөлөнг	өлсөх @@гөлөн @@г
иогтой	иог @@той
далайцтай	далай @@ц @@тай
хандлагаа	хандалага @@аа
дамчинд	дамчин @@д
барцдаас	барцад @@аас
оврыг	овор @@ыг
аймгаар	аймаг @@аар
онцлогийг	онц @@лог @@ийг
амьжиргаагаар	амьжих @@ргаа @@аар
алдартныг	алдарт @@ыг
сэжүүртэй	сэжүүр @@тэй
тэнгис	тэнгис
буудлагатай	буу @@дах @@лага @@тай
дайснаар	дайн @@саар
зараагаар	зараа @@аар
удирдлагатай	удирдах @@лага @@тай
зөөвөрлөх	зөөх @@вөр @@лөх
дагагчаар	дагах @@гч @@аар
зүхлээр	зүхлэх @@ээр
нуураа	нуур @@аа
цагдаагаас	цагдах @@аа @@ас
харьцаатай	харих @@цаа @@тай
шатнаас	шат @@аас
байгаа	бай @@аа
үнэг	үнэг
толгойгоо	толгой @@оо
гял	гял
өгөөшийг	өгөх @@өөш @@ийг
зарцтай	зарц @@тай
луйврыг	луйвар @@ыг
стратегийн	стратеги @@ийн
ичгүүр	ичигүүр
судалгаа	судах @@лга @@аа
холгодсоо	холгодос @@оо
хугацааны	хугацаа @@ы
загасчлалаар	загас @@члах @@л @@аар
романаас	роман @@аас
хэрэглэгчид	хэрэглэх @@гч @@д
энэрлээ	энэрэх @@л @@ээ
нээлтийг	нээх @@лт @@ийг
өндгөө	өндөг @@өө
өтгөрөх	өтгөрөх
ширгээс	ширэг @@ээс
мангастай	мангас @@тай
сувдаа	сувд @@аа
довтлолт	довтлох @@лт
гарлаа	гарах @@л @@аа
шавааралдуулах	шавах @@рах @@лдах @@уулах
туяанаас	туяа @@аас
гэлэнмаагаар	гэлэн @@маа @@аар
коллежоор	коллеж @@оор
хэрүүл	хэрүүл
сөнөөгчөөс	сөнөөх @@гч @@өөс
нийлэмжид	нийлэх @@мж @@д
үргүйдлийн	үр @@гүй @@дэх @@л @@ийн
сүүнээс	сүү @@ээс
бараагаа	бараа @@аа
хоцрогдолд	хоцрох @@гдол @@д
хуйвалдаан	хуйвалдах @@аан
гогцоонд	гогцоо @@д
аалзнаас	аалз @@аас
жодоо	жод @@оо
мөөгөнд	мөөг @@д
өтгөрүүлэх	өтгөрөх @@үүлэх
шилжилтийг	шилжих @@лт @@ийг
төвөөр	төв @@өөр
эмээл	эмээх @@л
