enthrallments	enthrall @@ment @@s
incult	incult
paskudnyak	paskudnyak
patronesses	patro @@ness @@s
monomethylases	mono @@methyl @@ase @@s
poniarding	poniard @@ing
strides	stride @@s
geekospheres	geekosphere @@s
preosteoblasts	pre @@osteo @@blast @@s
subneural	sub @@neura @@al
azidations	azide @@ation @@s
ingenuities	ingenuity @@s
multihyphenate	multi @@hyphen @@ate
Dongyi	Dongyi
cardioscopy	cardio @@scopy
jowling	jowl @@ing
hypermassive	hyper @@massive
Reaganites	Reagan @@ite @@s
limonitizations	limony @@ite @@ization @@s
Huck	Huck
undereat	under @@eat
closureless	closure @@less
snailing	snail @@ing
countercountermeasures	counter @@countermeasure @@s
depurants	depurant @@s
spongologists	spong @@ology @@ist @@s
bioassimilation	bio @@assimilate @@ion
polearms	polearm @@s
conservation	conserve @@ation
desoximetasone	desoximetasone
misdooms	mis @@doom @@s
unwithdrawing	un @@with @@draw @@ing
unliteral	un @@literal
roadburners	roadburn @@er @@s
inodiating	inodiate @@ing
monoxime	monoxime
shelfware	shelf @@ware
hydrosulphurets	hydro @@sulphuret @@s
coriaceous	coriaceous
coin-op	coin @@op
monotonous	mono @@tone @@ous
financialising	finance @@ial @@ise @@ing
moblogger	moblog @@er
epiphanies	epiphany @@s
inthrilled	in @@thrill @@ed
despiker	despike @@er
personalzine	person @@al @@zine
biculturalism	bi @@culture @@al @@ism
étouffées	étouffée @@s
nonforeigners	non @@foreign @@er @@s
unravel	un @@ravel
offsaddled	off @@saddle @@ed
Italese	Ital @@ese
invectives	invect @@ive @@s
schoolable	school @@able
signboarding	sign @@board @@ing
cofferdam	coffer @@dam
outpension	out @@pension
laminarizes	lamina @@ar @@ize @@s
bonbonnieres	bonbonniere @@s
forehooks	fore @@hook @@s
anagramising	anagramise @@ing
bilevel	bi @@level
dadsonite	dadsonite
retweaking	re @@tweak @@ing
accrementition	accrementition
outkeeping	out @@keeping
grits	grit @@s
anapæsts	anapæst @@s
incomplexity	in @@complex @@ity
impounding	impound @@ing
toepad	toe @@pad
monorhymes	mono @@rhyme @@s
edification	edify @@ification
servilities	servil @@ity @@s
deinterjectional	de @@interject @@ion @@al
